globID;x[mm];y[mm];type;subtype;size[mm];layer1;layer2;layer3
000001;44717;171036;1;2;100;1;0;0
000005;51181;177218;1;2;100;1;0;0
000006;57111;177371;1;2;100;1;0;0
000007;56876;169794;1;2;100;1;0;0
000008;58844;167965;1;2;100;1;0;0
000011;70984;167939;1;2;100;1;2;0
000012;77464;168980;1;2;100;2;0;0
000013;81756;167931;1;2;100;2;3;0
000014;83286;167842;1;2;100;2;3;0
000015;92407;167915;1;2;100;99;0;0
000016;90884;167914;1;2;100;3;0;0
000017;96977;167839;1;2;100;3;4;0
000018;101530;167914;1;2;100;3;4;0
000019;106097;167890;1;2;100;99;0;0
000020;109132;167815;1;2;100;4;0;0
000021;112175;167740;1;2;100;4;0;0
000022;115225;167895;1;2;100;99;0;0
000023;119779;167877;1;2;100;4;0;0
000024;121688;168486;1;2;100;4;5;0
000025;124580;168919;1;2;100;4;5;0
000026;128035;167879;1;2;100;5;0;0
000027;132593;167873;1;2;100;5;0;0
000028;135629;167865;1;2;100;5;0;0
000029;140196;167877;1;2;100;5;0;0
000030;143227;167873;1;2;100;5;6;0
000031;146278;167869;1;2;100;5;6;0
000032;146656;169590;1;2;100;5;6;0
000033;146663;174147;1;2;100;5;6;0
000034;154375;176828;1;2;100;5;6;0
000035;157044;177135;1;2;100;5;6;0
000036;161447;177254;1;2;100;6;0;0
000037;164439;176765;1;2;100;6;0;0
000038;169854;177229;1;2;100;6;0;0
000039;171846;177213;1;2;100;6;0;0
000040;174127;173023;1;2;100;6;0;0
000041;174077;165447;1;2;100;6;0;0
000042;174104;163585;1;2;100;6;0;0
000043;174075;154992;1;2;100;6;0;0
000044;171791;153726;1;2;100;6;0;0
000045;167835;153575;1;2;100;6;0;0
000046;164299;153838;1;2;100;6;0;0
000047;163039;154911;1;2;100;6;0;0
000048;157036;157575;1;2;100;6;0;0
000049;154610;153700;1;2;100;5;6;0
000050;152629;153743;1;2;100;5;6;0
000051;144391;153721;1;2;100;5;6;0
000052;142059;153765;1;2;100;6;0;0
000053;140713;157863;1;2;100;5;6;0
000054;136654;159022;1;2;100;5;6;0
000055;135097;155285;1;2;100;5;0;0
000056;134294;153889;1;2;100;5;0;0
000057;127572;153632;1;2;100;5;0;0
000058;125617;153776;1;2;100;4;5;0
000059;121747;157646;1;2;100;4;5;0
000060;121736;162572;1;2;100;4;5;0
000061;121281;163711;1;2;100;4;5;0
000062;115196;163652;1;2;100;4;0;0
000063;113683;163660;1;2;100;99;0;0
000064;110636;163660;1;1;100;99;0;0
000065;107596;163662;1;2;100;99;0;0
000066;101505;163821;1;2;100;3;4;0
000067;95430;163822;1;2;100;3;0;0
000068;89344;163679;1;2;100;3;0;0
000069;86310;163681;1;2;100;2;3;0
000070;81370;162516;1;2;100;2;0;0
000071;77324;161725;1;2;100;2;0;0
000072;77055;163700;1;2;100;1;2;0
000074;72495;163722;1;2;100;1;2;0
000075;66411;163726;1;2;100;1;0;0
000076;58813;163739;1;2;100;1;0;0
000077;56966;156454;1;2;100;1;0;0
000078;54261;157663;1;2;100;1;0;0
000079;54260;162609;1;2;100;1;0;0
000081;47873;163733;1;2;100;1;0;0
000082;44562;164030;1;2;100;1;0;0
000083;44877;165433;1;2;100;1;0;0
